DateID,LabID,OthLabID,Problems,CRA,Error,DC13,Material,Species,SiteID,SiteName,SiteContext,SiteType,Country,Longitude,Latitude,LocQual,Source,Comments
1,A-11802,,,8625,85,-23,,,22,Ain Abu Nukhayla,Level 9; locus 2,settlement,JO,35.4053,29.5619,A,Henry et al.  2002; Flohr et al. 2016,
2,A-11803,,,8465,120,-24.1,wood,,22,Ain Abu Nukhayla,"locus 5, level 12; Level 12; locus 5",settlement,JO,35.4053,29.5619,A,Henry et al. 2003; Benz 2014; CalPal; Flohr et al. 2016,
3,A-11804,,,8565,55,-24.3,wood,,22,Ain Abu Nukhayla,"locus 20, level 7; Level 7; locus 20",settlement,JO,35.4053,29.5619,A,Henry et al. 2003; Benz 2014; CalPal; Flohr et al. 2016,
4,A-11805,,,8370,80,-24.4,wood,,22,Ain Abu Nukhayla,"locus 20, level 10/11; Level 10/11; locus 20",settlement,JO,35.4053,29.5619,A,Henry et al. 2003; Benz 2014; Flohr et al. 2016,
5,A-11806,,,8610,95,-25.4,wood,,22,Ain Abu Nukhayla,"locus 22, level 15; Level 15; locus 22",settlement,JO,35.4053,29.5619,A,Henry et al. 2003; Benz 2014; Flohr et al. 2016,
6,A-11807,,,8410,80,-25.6,wood,,22,Ain Abu Nukhayla,"locus 25, level 13; Level 13; locus 25",settlement,JO,35.4053,29.5619,A,Henry et al. 2003; Benz 2014; Flohr et al. 2016,
7,A-12281,,,4830,185,-22.2,charcoal,,22,Ain Abu Nukhayla,,settlement,JO,35.4053,29.5619,A,Henry et al. 2002; CalPal,
8,A-25314,,,2705,35,,charcoal,,1489,Khirbat en-Nahas,L.74-B.1659; copper industrial waste; Stratum: A-2B,settlement,JO,35.4361,30.6805,A,van Der Plicht et al. 2009; Hinz et al. 2012: http://radon-b.ufg.uni-kiel.de/samples/7537,
9,AA-100554,,,1524,38,,seed,Triticum,303285,Dhiban,,settlement,JO,35.776577,31.501779,A,Farahani 2018,
10,AA-100557,,,1918,45,,seed,Hordeum,303285,Dhiban,,settlement,JO,35.776577,31.501779,A,Farahani 2018,
11,AA-100558,,,1963,39,,seed,Triticum,303285,Dhiban,,settlement,JO,35.776577,31.501779,A,Farahani 2018,
12,AA-100559,,,2837,41,,seed,Hordeum,303285,Dhiban,,settlement,JO,35.776577,31.501779,A,Farahani 2018,
13,AA-100674,,,9650,60,,charcoal,,2948,Aşıklı Höyük,"phase 3, Trench 2J, Unit 551, Feature 332, Building 18,  h=9.01 m",settlement,TR,34.2298,38.3492,A,Brami and Zanotti 2015,
14,AA-100684,,,8820,50,,dung,,2948,Aşıklı Höyük,"phase 3/4, Trench 4GH, Unit 249, Feature nd, h=8.52 m",settlement,TR,34.2298,38.3492,A,Brami and Zanotti 2015,
15,AA-100687,,,9050,50,,charcoal,,2948,Aşıklı Höyük,"phase 4, Trench 4GH, Unit 227, Feature 73, h=11.46 m",settlement,TR,34.2298,38.3492,A,Brami and Zanotti 2015,
16,AA-100690,,,8960,50,,charcoal,,2948,Aşıklı Höyük,"phase 4, Trench 4GH, Unit 255, Feature 84, Building 1, h=10.73 m",settlement,TR,34.2298,38.3492,A,Brami and Zanotti 2015,
17,AA-101119,,,2513,35,,charcoal,,303318,Tsaghkahovit,"fill, Locus 31",settlement,AM,44.223056,40.636111,A,AraGATS database; Manning et al. 2018,
